issue_id,status,changed_timestamp,changed_by
ORGA-3421,TO_DO,2025-11-03 01:15:59,USR-80010
ORGA-3421,IN_PROGRESS,2025-11-04 07:15:59,USR-80010
ORGA-3421,IN_REVIEW,2025-11-05 05:15:59,USR-80010
ORGA-3421,DONE,2025-11-06 09:15:59,USR-80010
ORGA-4340,TO_DO,2026-04-18 10:30:53,USR-16743
ORGA-4340,IN_PROGRESS,2026-04-19 21:30:53,USR-16743
ORGA-4340,IN_REVIEW,2026-04-20 12:30:53,USR-16743
ORGA-4340,DONE,2026-04-22 01:30:53,USR-16743
TERM-9609,TO_DO,2026-02-25 08:16:17,USR-63264
TERM-9609,IN_PROGRESS,2026-02-27 05:16:17,USR-63264
TERM-9609,IN_REVIEW,2026-03-01 05:16:17,USR-63264
TERM-9609,DONE,2026-03-03 02:16:17,USR-63264
CHOI-8932,TO_DO,2025-12-02 04:49:23,USR-65255
CHOI-8932,IN_PROGRESS,2025-12-04 03:49:23,USR-65255
CHOI-8932,IN_REVIEW,2025-12-04 18:49:23,USR-65255
CHOI-8932,DONE,2025-12-06 16:49:23,USR-65255
TERM-6194,TO_DO,2026-08-28 13:57:09,USR-82070
TERM-6194,IN_PROGRESS,2026-08-30 10:57:09,USR-82070
TERM-6194,IN_REVIEW,2026-08-31 22:57:09,USR-82070
TERM-6194,DONE,2026-09-02 00:57:09,USR-82070
WIN-3399,TO_DO,2026-05-14 09:35:05,USR-31299
WIN-3399,IN_PROGRESS,2026-05-16 04:35:05,USR-31299
WIN-3399,IN_REVIEW,2026-05-16 22:35:05,USR-31299
WIN-3399,DONE,2026-05-18 06:35:05,USR-31299
PROF-9824,TO_DO,2025-12-24 03:37:54,USR-75715
PROF-9824,IN_PROGRESS,2025-12-24 20:37:54,USR-75715
PROF-9824,IN_REVIEW,2025-12-25 13:37:54,USR-75715
PROF-9824,DONE,2025-12-25 18:37:54,USR-75715
LIST-4697,TO_DO,2025-09-26 23:30:07,USR-56438
LIST-4697,IN_PROGRESS,2025-09-28 20:30:07,USR-56438
LIST-4697,IN_REVIEW,2025-09-29 06:30:07,USR-56438
LIST-4697,DONE,2025-09-29 08:30:07,USR-56438
ANIM-7666,TO_DO,2026-03-31 05:13:43,USR-31581
ANIM-7666,IN_PROGRESS,2026-04-01 03:13:43,USR-31581
ANIM-7666,IN_REVIEW,2026-04-01 23:13:43,USR-31581
ANIM-7666,DONE,2026-04-03 18:13:43,USR-31581
THES-4804,TO_DO,2026-02-19 01:15:17,USR-74382
THES-4804,IN_PROGRESS,2026-02-19 05:15:17,USR-74382
THES-4804,IN_REVIEW,2026-02-20 08:15:17,USR-74382
THES-4804,DONE,2026-02-21 17:15:17,USR-74382
CHOI-1613,TO_DO,2026-02-25 07:07:31,USR-72163
CHOI-1613,IN_PROGRESS,2026-02-26 18:07:31,USR-72163
CHOI-1613,IN_REVIEW,2026-02-28 03:07:31,USR-72163
